S13	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Ετοιμότητα φορέων για την αντιμετώπιση εκτάκτων αναγκών λόγω χιονοπτώσεων και παγετού	Προώθηση των έκτακτων δελτίων επιδείνωσης καιρού που εκδίδει η ΕΜΥ στους Δήμους	Ετοιμότητα	Αποκεντρωμένες Διοικήσεις	Δ/νση Πολιτικής Προστασίας Α/Δ	Περιφέρειες
S14	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Ετοιμότητα φορέων για την αντιμετώπιση εκτάκτων αναγκών λόγω χιονοπτώσεων και παγετού	Σύνταξη μνημονίου ενεργειών και κοινοποίηση σε όλους τους εμπλεκόμενους φορείς	Ετοιμότητα	Περιφέρειες, Δήμοι, Αποκεντρωμένες Διοικήσεις	Δ/νση Πολιτικής Προστασίας Α/Δ, Δ/νση Πολιτικής Προστασίας Περιφερειών, Γραφεία Πολιτικής Προστασίας Δήμων	-
S15	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Ενημέρωση κοινού και παροχή οδηγιών για ενδεχόμενους κινδύνους από χιονοπτώσεις και παγετό	Ενημέρωση του κοινού για τη λήψη μέτρων αυτοπροστασίας σε κεντρικό επίπεδο	Ετοιμότητα	Γενική Γραμματεία Πολιτικής Προστασίας	-	-
S16	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Ενημέρωση κοινού και παροχή οδηγιών για ενδεχόμενους κινδύνους από χιονοπτώσεις και παγετό	Περαιτέρω ενημέρωση του κοινού σε τοπικό επίπεδο	Ετοιμότητα	Περιφέρειες, Δήμοι, Αποκεντρωμένες Διοικήσεις	Δ/νση Πολιτικής Προστασίας Α/Δ, Δ/νση Πολιτικής Προστασίας των Περιφερειών, Γραφείο Πολιτικής Προστασίας Δήμων	-
S17	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Ενημέρωση κοινού και παροχή οδηγιών για ενδεχόμενους κινδύνους από χιονοπτώσεις και παγετό	Ενημέρωση του κοινού για την επικρατούσα κατάσταση και την βατότητα του οδικού δικτύου από πλευράς χιονοπτώσεων και παγετού	Αντιμετώπιση	ΕΛ.ΑΣ	-	-
S18	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Ενημέρωση κοινού και παροχή οδηγιών για ενδεχόμενους κινδύνους από χιονοπτώσεις και παγετό	Ενημέρωση των πολιτών για ζητήματα που αφορούν την λειτουργία και προστασία των οικιακών δικτύων ύδρευσης σε συνθήκες παγετού	Αντιμετώπιση	Φορείς ύδρευσης	-	-
S19	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Αρχική αναγγελία – ειδοποίηση για έκτακτες ανάγκες λόγω χιονοπτώσεων και παγετού	Επίσημη ενημέρωση των φορέων για την επικρατούσα κατάσταση (ΚΕΠΠ, Δήμοι, Περιφέρειες, Α/Δ)	Αντιμετώπιση	ΕΛ.ΑΣ	-	Πυροσβεστικό Σώμα
S20	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Αρχική αναγγελία – ειδοποίηση για έκτακτες ανάγκες λόγω χιονοπτώσεων και παγετού	Κινητοποίηση Γραφείων Πολιτικής Προστασίας, εφαρμογή των μνημονίων και επικοινωνία με λοιπούς φορείς	Αντιμετώπιση	Δήμοι	Γραφεία Πολιτικής Προστασίας των Δήμων	-
S21	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Αρχική αναγγελία – ειδοποίηση για έκτακτες ανάγκες λόγω χιονοπτώσεων και παγετού	Κινητοποίηση Διεύθυνσης Πολιτικής Προστασίας, εφαρμογή των μνημονίων και επικοινωνία με λοιπούς φορείς	Αντιμετώπιση	Περιφέρειες	Δ/νση Πολιτικής Προστασίας των Περιφερειών	-
S22	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Αρχική αναγγελία – ειδοποίηση για έκτακτες ανάγκες λόγω χιονοπτώσεων και παγετού	Οι παραλήπτες της αρχικής ειδοποίησης αναλαμβάνουν να ενημερώσουν τις αρμόδιες επιχειρησιακά εμπλεκόμενες οργανικές μονάδες του Φορέα τους	Αντιμετώπιση	Όλοι οι φορείς	Υπηρεσία Π.Π/ Αρμόδια υπηρεσία του κάθε φορέα	-
S23	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Αρχική αναγγελία – ειδοποίηση για έκτακτες ανάγκες λόγω χιονοπτώσεων και παγετού	Επικοινωνία μεταξύ των εμπλεκομένων φορέων και με το ΚΕΠΠ	Αντιμετώπιση	Όλοι οι φορείς	-	-
S24	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Αποχιονισμός	Αποχιονισμός στο Εθνικό και Επαρχιακό οδικό δίκτυο	Αντιμετώπιση	Περιφέρειες	Δ/νση Τεχνικών Έργων των Περιφερειών	-
S25	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Έρευνα και διάσωση εξαιτίας χιονοπτώσεων και παγετού	Έρευνα και διάσωση ατόμων που η ζωή τους έχει περιέλθει σε κίνδυνο από την εκδήλωση χιονοπτώσεων και παγετού	Αντιμετώπιση	Π.Σ	-	Όλοι οι επιχειρησιακά εμπλεκόμενοι φορείς
S26	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Έρευνα και διάσωση εξαιτίας χιονοπτώσεων και παγετού	Δράσεις προ νοσοκομειακής περίθαλψης ή διακομιδής των διασωθέντων ή απεγκλωβισμένων ατόμων σε υγειονομικές μονάδες	Αντιμετώπιση	ΕΚΑΒ	-	Κέντρο Επιχειρήσεων του ΕΚΕΠΥ, ΠΣ, ΕΛΑΣ, Φορείς Συντήρησης, Αποκεντρωμένα όργανα πολιτικής προστασίας
S27	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Έρευνα και διάσωση εξαιτίας χιονοπτώσεων και παγετού	Απεγκλωβισμός και διάσωση οδηγών και επιβατών που η ζωή τους έχει τεθεί σε κίνδυνο από διακοπή της κυκλοφορίας στο οδικό δίκτυο λόγω χιονοπτώσεων ή παγετού	Αντιμετώπιση	Π.Σ	-	ΕΛ.ΑΣ, Φορείς Συντήρησης, Αποκεντρωμένα όργανα Πολιτικής Προστασίας
S28	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Έρευνα και διάσωση εξαιτίας χιονοπτώσεων και παγετού	Απεγκλωβισμός και διάσωση επιβατών και εργαζομένων στο σιδηροδρομικό δίκτυο της χώρας εξ' αιτίας χιονόπτωσης ή παγετού	Αντιμετώπιση	Π.Σ	-	ΟΣΕ, ΤΡΑΙΝΟΣΕ
S29	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Αποκατάσταση βλαβών σε δίκτυα κοινής ωφέλειας εξαιτίας χιονοπτώσεων και παγετού	Αποκατάσταση βλαβών σε δίκτυα μεταφοράς και διανομής ηλεκτρικής ενέργειας, εξ αιτίας χιονόπτωσης ή παγετού (διάθεση προσωπικού, υλικών και μέσων, κλπ.)	Αντιμετώπιση	ΑΔΜΗΕ - ΔΕΔΗΕ	-	-
S30	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Αποκατάσταση βλαβών σε δίκτυα κοινής ωφέλειας εξαιτίας χιονοπτώσεων και παγετού	Αποκατάσταση βλαβών σε δίκτυα ύδρευσης	Αντιμετώπιση	ΕΥΔΑΠ, ΕΥΑΘ	-	-
S31	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Διακοπή μαθημάτων	Διακοπή μαθημάτων λόγω χιονοπτώσεων και παγετού ως αρμοδιότητα του Δήμου εντός των διοικητικών του ορίων και αρμοδιότητα της Περιφέρειας εντός των διοικητικών της ορίων	Αντιμετώπιση	Δήμοι, Περιφέρειες	-	-
